ID,Project Code,PQ #,PO / SO #,ASN/DN #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,PQ First Sent to Client Date,PO Sent to Vendor Date,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD)
65,106-HT-T01,Pre-PQ Process,SCMS-274,ASN-162,Haiti,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,2007-01-18,2007-01-18,2007-01-18,HRDT,HIV test,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,0,Test kit,100,750,60000.0,80.0,0.8,ABBVIE GmbH & Co.KG Wiesbaden,Yes,1760.32,1760.32,113.62117336649175
80,107-RW-T01,Pre-PQ Process,SCMS-488,ASN-299,Rwanda,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,2007-03-29,2007-03-29,2007-03-29,HRDT,HIV test,Premier Medical Corporation Ltd.,"HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit, 30 Tests","HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit",First Response,0,Test kit,30,2000,33000.0,16.5,0.55,Premier Med. Corp Ltd. India,Yes,3120.7,3120.7,74.61474782118168
87,109-TZ-T01,Pre-PQ Process,SCMS-555,ASN-409,Tanzania,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,4/12/07,2007-06-06,2007-06-06,2007-06-06,ARV,Pediatric,BRISTOL-MYERS SQUIBB,"Didanosine 2g [Videx], powder for oral solution 10mg/ml, reconstitute to 200 ml",Didanosine,Videx,2g,Powder for oral solution,200,712,8964.08,12.59,0.06,"BMS Meymac, France",Yes,912.96,912.96,43.20146504172597
92,102-NG-T01,Pre-PQ Process,SCMS-592,ASN-485,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,5/13/07,2007-06-19,2007-06-19,2007-06-19,HRDT,HIV test,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,0,Test kit,100,1000,80000.0,80.0,0.8,ABBVIE GmbH & Co.KG Wiesbaden,Yes,2682.47,2682.47,128.0
96,102-NG-T01,Pre-PQ Process,SCMS-570,ASN-451,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,5/17/07,2007-06-19,2007-06-19,2007-06-19,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,0,Test kit,20,7500,202500.0,27.0,1.35,Chembio Diagnostics Sys. Inc.,Yes,15893.71,15893.71,298.84721277852714
115,108-VN-T01,Pre-PQ Process,SCMS-753,ASN-781,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/4/07,2007-10-15,2007-10-15,2007-10-15,ARV,Pediatric,Aurobindo Pharma Limited,"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",Nevirapine,Generic,10mg/ml,Oral suspension,240,1000,1920.0,1.92,0.01,"Aurobindo Unit III, India",Yes,4193.49,4193.49,3.07
116,108-VN-T01,Pre-PQ Process,SCMS-759,ASN-632,Vietnam,PMO - US,Direct Drop,FCA,Air,Pre-PQ Process,7/4/07,2007-08-27,2007-08-27,2007-08-27,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,500,41095.0,82.19,0.68,ABBVIE Ludwigshafen Germany,Yes,1767.38,1767.38,65.75
130,100-HT-T01,Pre-PQ Process,SCMS-10080,ASN-628,Haiti,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/26/07,2007-08-13,2007-08-21,2007-08-21,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,0,Test kit,100,750,53992.5,71.99,0.72,Inverness Japan,Yes,3518.38,3518.38,86.39
134,100-HT-T01,Pre-PQ Process,SCMS-10130,ASN-616,Haiti,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/26/07,2007-08-25,2007-08-25,2007-08-25,HRDT,HIV test,Orasure Technologies Inc.,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests","HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit",OraQuick,0,Test kit,100,25,8750.0,350.0,3.5,"Pacific Biotech, Thailand",Yes,3097.85,3097.85,14.0
138,109-TZ-T01,Pre-PQ Process,SCMS-10270,ASN-710,Tanzania,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,2007-10-16,2007-10-16,2007-10-16,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,0,Test kit,25,10000,200000.0,20.0,0.8,"Standard Diagnostics, Korea",Yes,27869.74,27869.74,320.0
139,109-TZ-T01,Pre-PQ Process,SCMS-10290,ASN-788,Tanzania,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,2007-11-22,2007-11-22,2007-11-22,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,0,Test kit,25,10000,200000.0,20.0,0.8,"Standard Diagnostics, Korea",Yes,28461.1,28461.1,320.0
140,109-TZ-T01,Pre-PQ Process,SCMS-10300,ASN-856,Tanzania,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,2007-11-22,2007-11-22,2007-11-22,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,0,Test kit,25,10000,200000.0,20.0,0.8,"Standard Diagnostics, Korea",Yes,28359.8,28359.8,320.0
161,117-ET-T01,Pre-PQ Process,SCMS-11070,ASN-916,Ethiopia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,10/3/07,2007-11-20,2007-11-20,2007-11-20,ARV,Adult,Aurobindo Pharma Limited,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,30mg,Capsule,60,64000,99200.0,1.55,0.03,"Aurobindo Unit III, India",Yes,12237.61,12237.61,158.72
176,102-NG-T01,Pre-PQ Process,SCMS-11750,ASN-745,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,8/28/07,2007-10-03,2007-10-03,2007-10-03,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,0,Test kit,20,10000,270000.0,27.0,1.35,Chembio Diagnostics Sys. Inc.,Yes,20885.78,20885.78,432.0
269,108-VN-T01,Pre-PQ Process,SCMS-14190,ASN-1192,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,11/19/07,2008-01-21,2008-01-21,2008-01-21,ARV,Adult,"GILEAD SCIENCES IRELAND, INC.","Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Viread,300mg,Tablet,30,1000,17000.0,17.0,0.57,Gilead(Nycomed) Oranienburg DE,Yes,2282.57,2282.57,27.2
270,108-VN-T01,Pre-PQ Process,SCMS-14200,ASN-1171,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,11/21/07,2008-01-21,2008-01-21,2008-01-21,ARV,Adult,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,400,3352.0,8.38,0.14,"Ranbaxy, Paonta Shahib, India",Yes,2149.05,2149.05,5.36
284,107-RW-T01,Pre-PQ Process,SCMS-14630,ASN-1253,Rwanda,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,12/10/07,2008-01-31,2008-01-31,2008-01-31,HRDT,HIV test - Ancillary,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,0,Test kit - Ancillary,100,1500,15.0,0.01,0.0,Inverness Japan,Yes,0.75,0.75,0.02
391,104-CI-T01,Pre-PQ Process,SCMS-18290,ASN-1879,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/27/08,2008-06-17,2008-06-17,2008-06-17,HRDT,HIV test,BIO-RAD LABORATORIES (FRANCE),"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests","HIV, Genie II HIV-1/HIV-2 Kit",Genie,0,Test kit,40,476,36176.0,76.0,1.9,Bio-Rad Laboratories,Yes,5446.51,5446.51,57.88
392,104-CI-T01,Pre-PQ Process,SCMS-18310,ASN-3435,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,3/3/08,2009-03-19,2009-03-19,2009-03-19,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,0,Test kit,25,659,13180.0,20.0,0.8,"Standard Diagnostics, Korea",Yes,2656.12,2656.12,25.83
399,102-GY-T01,Pre-PQ Process,SCMS-18500,ASN-2117,Guyana,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/28/08,2008-07-28,2008-07-28,2008-07-28,HRDT,HIV test - Ancillary,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,0,Test kit - Ancillary,100,213,2.13,0.01,0.0,Inverness Japan,Yes,360.0,360.0,0.0
410,113-ZW-T01,Pre-PQ Process,SCMS-18870,ASN-2434,Zimbabwe,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,3/17/08,2008-11-17,2008-11-17,2008-11-17,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,0,Test kit,100,1634,117631.66,71.99,0.72,Inverness Japan,Yes,4112.46,4112.46,188.21
411,123-NG-T01,Pre-PQ Process,SCMS-18940,ASN-1467,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,3/13/08,2008-04-17,2008-04-17,2008-04-17,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,0,Test kit,20,1425,38475.0,27.0,1.35,Chembio Diagnostics Sys. Inc.,Yes,5468.88,5468.88,61.56
414,119-NA-T01,Pre-PQ Process,SCMS-19130,ASN-1798,Namibia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,3/18/08,2008-06-04,2008-06-04,2008-06-04,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,0,Test kit,100,142,10222.58,71.99,0.72,Inverness Japan,Yes,1715.17,1715.17,16.36
420,108-VN-T01,Pre-PQ Process,SCMS-19490,ASN-1753,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,3/31/08,2008-06-03,2008-06-03,2008-06-03,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,8400,96432.0,11.48,0.38,Mylan (formerly Matrix) Nashik,Yes,4051.34,4051.34,154.29
438,108-VN-T01,Pre-PQ Process,SCMS-20310,ASN-1923,Vietnam,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,3/31/08,2008-07-12,2008-07-12,2008-07-12,ARV,Pediatric,BRISTOL-MYERS SQUIBB,"Didanosine 25mg [Videx], chewable tablets, 60 Tabs",Didanosine,Videx,25mg,Chewable/dispersible tablet,60,400,2800.0,7.0,0.12,"BMS Meymac, France",Yes,2211.05,2211.05,4.48
464,102-NG-T01,Pre-PQ Process,SCMS-21540,ASN-2008,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,2008-07-09,2008-07-09,2008-07-09,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,0,Test kit,100,5498,439785.02,79.99,0.8,Inverness Japan,Yes,16090.22,16090.22,703.66
530,108-VN-T01,Pre-PQ Process,SCMS-23450,ASN-2336,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,5/14/08,2008-09-19,2008-09-19,2008-09-19,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,1344,18359.04,13.66,0.46,Mylan (formerly Matrix) Nashik,Yes,13507.92,13507.92,29.37
535,109-TZ-T01,Pre-PQ Process,SCMS-23610,ASN-2167,Tanzania,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,5/15/08,2008-09-02,2008-09-02,2008-09-02,ARV,Adult,BRISTOL-MYERS SQUIBB,"Didanosine EC 400mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps",Didanosine EC,Videx EC,400mg,Delayed-release capsules - blister,30,2597,61470.99,23.67,0.79,"BMS Meymac, France",Yes,645.1,645.1,98.35
543,106-HT-T01,Pre-PQ Process,SCMS-23840,ASN-2504,Haiti,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,5/20/08,2008-09-30,2008-09-30,2008-09-30,HRDT,HIV test,Orasure Technologies Inc.,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests","HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit",OraQuick,0,Test kit,100,28,9800.0,350.0,3.5,"Pacific Biotech, Thailand",Yes,782.13,782.13,15.68
551,106-HT-T01,Pre-PQ Process,SCMS-24020,ASN-2865,Haiti,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,5/23/08,2008-11-24,2008-11-24,2008-11-24,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Capillus HIV Kit, 100 Tests","HIV 1/2, Capillus HIV Kit",Capillus,0,Test kit,100,84,11676.0,139.0,1.39,"Trinity Biotech, Plc",Yes,871.57,871.57,22.88
610,108-VN-T01,Pre-PQ Process,SCMS-26180,ASN-2274,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/1/08,2008-09-19,2008-09-19,2008-09-19,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,38640,92736.0,2.4,0.04,"Aurobindo Unit III, India",Yes,18614.72,18614.72,148.38
630,112-NG-T01,Pre-PQ Process,SCMS-26560,ASN-2366,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/2/08,2009-02-25,2008-09-09,2008-09-09,ACT,ACT,IDA FOUNDATION,"Artemether/Lumefantrine 20/120mg [Coartem], scored tablets, Blister 30 x 18 Tabs",Artemether/Lumefantrine,Coartem,20/120mg,Tablet - FDC + blister,540,34,1547.68,45.52,0.08,"Novartis Pharma AG, Switzerland",Yes,1755.87,1755.87,2.48
637,108-VN-T01,Pre-PQ Process,SCMS-26200,ASN-2563,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/3/08,2008-10-08,2008-10-08,2008-10-08,ARV,Adult,Aurobindo Pharma Limited,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,30mg,Capsule,60,42000,60900.0,1.45,0.02,"Aurobindo Unit III, India",Yes,10179.16,10179.16,97.44
660,108-VN-T01,Pre-PQ Process,SCMS-27360,ASN-2767,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/24/08,2008-11-27,2008-11-27,2008-11-27,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,16800,171192.0,10.19,0.34,Mylan (formerly Matrix) Nashik,Yes,4686.88,4686.88,335.54
668,102-GY-T01,Pre-PQ Process,SCMS-27670,ASN-2255,Guyana,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,7/25/08,2008-08-15,2008-08-15,2008-08-15,MRDT,Malaria,ZEPHYR BIOMEDICALS,"Malaria Paramax-3 Kit, 25 Tests",Malaria Paramax-3 Kit,Paramax,0,Test kit,25,98,3675.0,37.5,1.5,Not Applicable,Yes,180.0,180.0,5.88
670,110-ZM-T01,Pre-PQ Process,SCMS-27790,ASN-2641,Zambia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/31/08,2008-10-20,2008-10-20,2008-10-20,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,0,Test kit,100,4500,323955.0,71.99,0.72,Inverness Japan,Yes,11062.05,11062.05,634.95
717,104-CI-T01,Pre-PQ Process,SCMS-29140,ASN-2472,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,8/27/08,2008-10-02,2008-10-02,2008-10-02,HRDT,HIV test,BIO-RAD LABORATORIES (FRANCE),"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests","HIV, Genie II HIV-1/HIV-2 Kit",Genie,0,Test kit,40,500,38000.0,76.0,1.9,Bio-Rad Laboratories,Yes,11298.13,11298.13,60.8
719,104-CI-T01,Pre-PQ Process,SCMS-29340,ASN-2921,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,9/3/08,2009-01-23,2009-01-23,2009-01-23,ACT,ACT,IDA FOUNDATION,"Artesunate+Amodiaquine 50+153mg, tablets, co-blister 6+6 Tabs",Artesunate+Amodiaquine,Generic,50+153mg,Tablet - FDC + co-blister,12,25000,9750.0,0.39,0.03,Ipca Dadra/Nagar Haveli IN,Yes,12830.91,12830.91,19.11
791,119-NA-T01,Pre-PQ Process,SCMS-31180,ASN-2717,Namibia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,9/24/08,2008-10-29,2008-10-29,2008-10-29,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,0,Test kit,100,150,10798.5,71.99,0.72,Inverness Japan,Yes,2698.04,2698.04,21.17
796,102-BW-T01,Pre-PQ Process,SCMS-31370,ASN-2796,Botswana,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,10/2/08,2008-11-28,2008-11-28,2008-11-28,HRDT,HIV test - Ancillary,"Trinity Biotech, Plc","#109436**HIV 1, Uni-Gold Recombigen HIV Control, Vial 2 x 0.5 ml","HIV 1, Uni-Gold Recombigen HIV Control, Vial 2 x 0.5 ml",Uni-Gold,0,Test kit - Ancillary,2,15,450.0,30.0,15.0,"Trinity Biotech, Plc",Yes,578.01,578.01,0.88
797,110-ZM-T01,Pre-PQ Process,SCMS-31380,ASN-3172,Zambia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,10/2/08,2009-01-23,2009-01-23,2009-01-23,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,0,Test kit,25,319,6380.0,20.0,0.8,"Standard Diagnostics, Korea",Yes,1122.24,1122.24,12.5
858,109-TZ-T01,Pre-PQ Process,SCMS-34680,ASN-3332,Tanzania,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,12/19/08,2009-04-21,2009-04-21,2009-04-21,ARV,Adult,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),"Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg [Atripla], tablets, 30 Tabs",Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate,Atripla,600/200/300mg,Tablet - FDC,30,50000,2520000.0,50.4,1.68,"MSD, Haarlem, NL",Yes,9339.0,9339.0,4939.2
914,104-CI-T01,Pre-PQ Process,SCMS-35790,ASN-3242,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,12/19/08,2009-03-02,2009-03-02,2009-03-02,ANTM,Malaria,IDA FOUNDATION,"Quinine 600mg/2ml (as dihydrochloride), injection, 2ml x 100 Ampules",Quinine (as dihydrochloride),Generic,600mg/2ml,Injection,100,140,2731.4,19.51,0.2,Gland Pharma Ltd Pally Factory,Yes,25405.22,25405.22,5.35
937,111-MZ-T01,Pre-PQ Process,SCMS-36660,ASN-3509,Mozambique,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,1/5/09,2009-03-23,2009-03-23,2009-03-23,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,0,Test kit,20,5700,182400.0,32.0,1.6,"Trinity Biotech, Plc",Yes,23914.8,23914.8,357.5
